filename,face_identity_score,clip_score,brisque_score,time,
MEN-Shirts_Polos-id_00003489-12_4_full,0.558135831,0.321381748,13.10986328,64.4601922,
WOMEN-Tees_Tanks-id_00001973-04_4_full,0.41842238,0.216914266,29.33526611,51.72254219,
MEN-Denim-id_00000938-05_1_front,0.727715963,0.299904764,26.70330811,52.46763982,
WOMEN-Sweaters-id_00005720-06_4_full,0.461122328,0.287192911,18.23754883,55.74711404,
WOMEN-Skirts-id_00003521-06_4_full,0.625671023,0.258353829,12.51165771,54.72356316,
WOMEN-Blouses_Shirts-id_00004810-03_7_additional,0.687388742,0.258150399,10.87780762,55.07510538,
WOMEN-Tees_Tanks-id_00006602-08_4_full,0.48555305,0.287918568,12.19598389,56.45860924,
WOMEN-Blouses_Shirts-id_00003927-07_4_full,0.702684546,0.268315375,19.29046631,56.35957282,
MEN-Sweaters-id_00001463-05_7_additional,0.776675665,0.348159879,35.4284668,55.98769442,
WOMEN-Jackets_Coats-id_00005628-02_1_front,0.506427252,0.25268659,15.2366333,56.71551691,
WOMEN-Jackets_Coats-id_00000708-03_7_additional,0.666499698,0.294454336,10.07922363,57.86368882,
WOMEN-Graphic_Tees-id_00001181-01_4_full,0.609660292,0.247494504,25.12091064,117.6308034,
WOMEN-Sweaters-id_00007032-05_4_full,0.412078673,0.235942498,7.392700195,63.88168013,
WOMEN-Tees_Tanks-id_00001384-13_4_full,0.502909982,0.23928988,20.27935791,56.96800305,
WOMEN-Blouses_Shirts-id_00002890-04_7_additional,0.539273167,0.24745281,23.63085938,57.31267713,
WOMEN-Graphic_Tees-id_00003248-02_4_full,0.593202823,0.255865902,15.1552124,55.42767707,
WOMEN-Shorts-id_00006051-02_4_full,0.637441301,0.303304672,26.69384766,50.10363966,
WOMEN-Dresses-id_00007266-02_1_front,0.592558229,0.268182814,13.28979492,67.59915047,
WOMEN-Sweaters-id_00000964-05_1_front,0.442044297,0.276183158,8.202514648,58.03276274,
WOMEN-Shorts-id_00003514-04_4_full,0.533555502,0.275010139,30.30041504,58.31623591,
WOMEN-Tees_Tanks-id_00005085-45_4_full,0.666056359,0.297045171,23.9453125,56.13620763,
WOMEN-Sweaters-id_00007394-01_1_front,0.587164068,0.252494901,18.59539795,57.38970248,
WOMEN-Dresses-id_00002434-02_1_front,0.514942968,0.254614264,26.67431641,56.52293078,
WOMEN-Blouses_Shirts-id_00005060-01_7_additional,0.483779454,0.24114126,31.55889893,56.8355539,
WOMEN-Dresses-id_00006862-01_1_front,0.557963276,0.258146226,25.81964111,58.90329535,
WOMEN-Tees_Tanks-id_00007752-06_4_full,0.621808791,0.230882645,25.14697266,65.11657575,
WOMEN-Tees_Tanks-id_00007568-03_4_full,0.45417189,0.279240102,24.88867188,95.13934887,
WOMEN-Sweaters-id_00006850-07_7_additional,0.572178626,0.238869682,4.770385742,65.61003116,
WOMEN-Tees_Tanks-id_00003943-04_4_full,0.568321222,0.310594767,11.62982178,56.13376538,
WOMEN-Sweaters-id_00000861-01_4_full,0.462044934,0.220730633,10.31713867,78.1371887,
WOMEN-Skirts-id_00000699-03_1_front,0.513253176,0.264002144,13.7098999,72.3600727,
